workerid,predicate,predicateclass,slide_number,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,talk,Neutral,3,0.73,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,be incompetent,Negative,4,0.12,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,swear,Negative,5,0.49,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,burrow,Neutral,6,0.47,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,eat carrots,Neutral,7,0.74,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,fly,Neutral,8,0.51,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,solve problems,Positive,9,0.86,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,be strong,Positive,10,0.79,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,be generous,Positive,11,0.81,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
0,be unintelligent,Negative,12,0.1,English,2,Female,31,,Yes,2,Windows,768,1366,Chrome,3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3XJ64T7AMSNSHT7AKJPIGC498VHTWB,Language study,A 4-minute study where you rate properties.,language experiment study communication stanford fun cognitive science,$0.50,Mon Feb 05 09:24:37 PST 2018,20,0,0,0,Reviewable,NotReviewed,1 cond,1200,60000,Wed Mar 07 09:24:37 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Q9SPIIRWIL3D6ZILRTK1RLQHOAWAY,3Z7ISHFUH0UWAX92PIYFSO54MJ3Z8D,0,Submitted,Tue Feb 06 02:08:26 PST 2018,Mon Feb 05 09:26:24 PST 2018,Mon Feb 05 09:28:26 PST 2018,,,,,,[],1.9686666666666665
